,alpha,beta,delta
0,7.153168821034981e-09,8.515677167898786e-09,4.696455231792982e-10
1,6.60618860512231e-08,7.864510244193225e-08,3.531973011615507e-09
2,1.1941143610267742e-07,1.4215647155080645e-07,6.413313386864811e-09
3,1.7054460438508748e-07,2.0302929093462794e-07,8.920559659376483e-09
4,2.3629668982670635e-07,2.813055831270313e-07,1.262334206171767e-08
5,2.6465031523077784e-07,3.150598990842593e-07,1.3685744735331545e-08
6,2.4493323735392446e-07,2.9158718732610053e-07,1.3496651253799954e-08
7,2.2964245056367483e-07,2.7338386971866053e-07,1.2237125924948543e-08
8,1.46766216247426e-07,1.7472168600884048e-07,7.424974539244445e-09
9,8.634809621502326e-08,1.0279535263693244e-07,4.564366016755228e-09
10,1.0356194313733589e-07,1.2328802754444748e-07,5.2466423776190965e-09
11,7.942464400497765e-08,9.455314762497338e-08,4.3035930002663085e-09
12,2.5138602166668534e-09,2.9926907341272066e-09,1.6570442264193534e-10
13,8.4e-09,1e-08,1e-08
14,8.4e-09,1e-08,1e-08
