,alpha,beta,delta
0,5.754596549123221e-09,6.850710177527643e-09,3.798972796834633e-10
1,4.6114196033039064e-08,5.48978524202846e-08,2.5390145959534342e-09
2,7.543706977883316e-08,8.980603545099186e-08,3.9380649831938525e-09
3,1.0608836067862504e-07,1.2629566747455361e-07,5.5643782086439746e-09
4,1.5172824069673816e-07,1.806288579723073e-07,7.822865929329337e-09
5,1.9783608012216695e-07,2.3551914300257971e-07,1.0447897209072126e-08
6,1.846961400509859e-07,2.1987635720355464e-07,9.84537005582792e-09
7,1.7307893256763363e-07,2.060463482948019e-07,9.432291124534951e-09
8,9.34661866354094e-08,1.1126926980405881e-07,4.735337539985381e-09
9,4.842364694108679e-08,5.764719873938903e-08,2.3756558877877656e-09
10,8.749397388411204e-08,1.0415949271918098e-07,4.718515945706862e-09
11,6.674539879927439e-08,7.945880809437427e-08,3.7886677679196975e-09
12,2.0363280982871273e-09,2.424200117008485e-09,1.3436136318536836e-10
13,8.4e-09,1e-08,1e-08
14,8.4e-09,1e-08,1e-08
